state,year,charging_stations,fast_charger_pct,urban_coverage_pct,normalized_charging_stations,ev_readiness_score,charging_growth_pct,ev_transition_category,ev_sales,ice_sales,policy_score,ev_2w,ev_3w,ev_4w,ev_penetration_pct,data_type
Assam,2026,227,0.0048,0.0064,0.12555309734513273,0.06549654867256637,-0.30153846153846153,Emerging (Low),49665.0,772322.0,1.0,37248,7449,4968,6.0420663587137025,Forecast
Assam,2027,292,0.0048,0.0064,0.16150442477876106,0.08347221238938053,0.28634361233480177,Emerging (Low),24251.0,806289.0,1.0,18188,3637,2426,2.9199075300406965,Historical
Assam,2027,194,0.0048,0.0064,0.10730088495575221,0.056370442477876107,-0.3356164383561644,Emerging (Low),49665.0,791036.0,1.0,37248,7449,4968,5.907569992185093,Forecast
Bihar,2016,837,0.0058,0.0051,0.4629424778761062,0.2342312389380531,0.0,Emerging (Low),12555.0,587445.0,1.0,9416,1883,1256,2.0925,Historical
Bihar,2017,363,0.0031,0.0084,0.20077433628318583,0.10299716814159292,-0.5663082437275986,Emerging (Low),5608.0,612392.0,1.0,4206,841,561,0.9074433656957929,Historical
Bihar,2018,494,0.0051,0.0074,0.27323008849557523,0.13962504424778763,0.3608815426997245,Emerging (Low),7861.0,628679.0,1.0,5895,1179,787,1.234957740283407,Historical
Bihar,2019,890,0.0052,0.0081999999999999,0.4922566371681416,0.24932831858407078,0.8016194331983806,Emerging (Low),14587.0,641049.0,1.0,10940,2188,1459,2.2248625761855663,Historical
Bihar,2020,709,0.0029,0.0073,0.39214601769911506,0.19840300884955753,-0.20337078651685392,Emerging (Low),47879.0,627426.0,1.0,35909,7181,4789,7.0899815638859485,Historical
Bihar,2021,955,0.0029,0.0067,0.5282079646017699,0.26631398230088493,0.3469675599435824,Emerging (Low),66426.0,629138.0,1.0,49819,9963,6644,9.549947955903411,Historical
Bihar,2022,931,0.0045,0.0059,0.514933628318584,0.25999681415929204,-0.025130890052356025,Emerging (Low),66699.0,649732.0,1.0,50024,10004,6671,9.309898650393409,Historical
Bihar,2023,1003,0.0042,0.0065,0.5547566371681416,0.2799383185840708,0.07733619763694954,Emerging (Low),74013.0,663911.0,1.0,55509,11101,7403,10.029894677500664,Historical
Bihar,2024,560,0.0031,0.0051,0.30973451327433627,0.1568172566371681,-0.4416749750747757,Emerging (Low),42563.0,717499.0,1.0,31922,6384,4257,5.599937899802911,Historical
Bihar,2025,525,0.0032,0.0059,0.2903761061946903,0.14732805309734512,-0.0625,Emerging (Low),41100.0,741763.0,1.0,30825,6165,4110,5.2499607210967945,Historical
Bihar,2025,421,0.0032,0.0059,0.23285398230088494,0.11856699115044247,-0.1980952380952381,Emerging (Low),77713.0,732138.0,1.0,58284,11656,7773,9.595962714128897,Forecast
Bihar,2026,490,0.003,0.0057,0.27101769911504425,0.13754884955752214,0.16389548693586709,Emerging (Low),39511.0,766838.0,1.0,29633,5926,3952,4.8999874744062435,Historical
Bihar,2026,386,0.003,0.0057,0.21349557522123894,0.10878778761061947,-0.21224489795918366,Emerging (Low),77713.0,749450.0,1.0,58284,11656,7773,9.395125265515986,Forecast
Bihar,2027,456,0.0029,0.0055,0.252212389380531,0.1280761946902655,0.18134715025906734,Emerging (Low),37872.0,792668.0,1.0,28404,5680,3788,4.559924868158065,Historical
Bihar,2027,352,0.0029,0.0055,0.19469026548672566,0.09931513274336283,-0.22807017543859653,Emerging (Low),77713.0,766763.0,1.0,58284,11656,7773,9.202511379837912,Forecast
Chhattisgarh,2016,1106,0.0039,0.0076,0.6117256637168141,0.3085528318584071,0.0,Developing (Mid),16590.0,583410.0,1.0,12442,2488,1660,2.765,Historical
Chhattisgarh,2017,429,0.0053,0.0067,0.2372787610619469,0.12156938053097344,-0.6121157323688969,Emerging (Low),6628.0,611372.0,1.0,4971,994,663,1.0724919093851133,Historical
Chhattisgarh,2018,1126,0.0054,0.0051,0.6227876106194691,0.31403380530973457,1.6247086247086249,Developing (Mid),17918.0,618622.0,1.0,13438,2687,1793,2.8149055833097685,Historical
Chhattisgarh,2019,299,0.0054,0.0060999999999999,0.16537610619469026,0.08552805309734511,-0.7344582593250444,Emerging (Low),4900.0,650736.0,1.0,3675,735,490,0.7473659164536419,Historical
Chhattisgarh,2020,1192,0.0029,0.0081999999999999,0.6592920353982301,0.332156017699115,2.9866220735785953,Developing (Mid),80496.0,594809.0,1.0,60372,12074,8050,11.919947283079498,Historical
Chhattisgarh,2021,734,0.0043,0.0055,0.4059734513274336,0.2053767256637168,-0.3842281879194631,Emerging (Low),51054.0,644510.0,1.0,38290,7658,5106,7.339942837754686,Historical
Chhattisgarh,2022,713,0.0034999999999999,0.0045,0.39435840707964603,0.199129203539823,-0.028610354223433276,Emerging (Low),51081.0,665350.0,1.0,38310,7662,5109,7.129925980310735,Historical
Chhattisgarh,2023,669,0.0053,0.0074,0.3700221238938053,0.18808106194690266,-0.061711079943899017,Emerging (Low),49367.0,688557.0,1.0,37025,7405,4937,6.689984334430103,Historical
Chhattisgarh,2024,721,0.0025,0.0055,0.398783185840708,0.20124159292035398,0.07772795216741413,Emerging (Low),54800.0,705262.0,1.0,41100,8220,5480,7.209938136625696,Historical
Chhattisgarh,2025,672,0.0034,0.0056,0.37168141592920356,0.18798070796460178,-0.06796116504854366,Emerging (Low),52608.0,730255.0,1.0,39456,7891,5261,6.719949723003897,Historical
Chhattisgarh,2025,527,0.0034,0.0056,0.29148230088495575,0.14788115044247788,-0.21577380952380953,Emerging (Low),84520.0,728658.0,1.0,63390,12678,8452,10.39378832186803,Forecast
Chhattisgarh,2026,624,0.0032,0.0055,0.34513274336283184,0.1746263716814159,0.18406072106261862,Emerging (Low),50316.0,756033.0,1.0,37737,7547,5032,6.2399779747975135,Historical
Chhattisgarh,2026,479,0.0032,0.0055,0.2649336283185841,0.13452681415929202,-0.23237179487179482,Emerging (Low),84520.0,745617.0,1.0,63390,12678,8452,10.181451977203764,Forecast
Chhattisgarh,2027,576,0.0031,0.0053,0.3185840707964602,0.16128203539823008,0.20250521920668052,Emerging (Low),47839.0,782701.0,1.0,35879,7175,4785,5.7599874780263445,Historical
Chhattisgarh,2027,431,0.0031,0.0053,0.23838495575221239,0.1211824778761062,-0.25173611111111116,Emerging (Low),84520.0,762576.0,1.0,63390,12678,8452,9.977617649003182,Forecast
Delhi,2016,482,0.0049,0.0072,0.2665929203539823,0.13620646017699115,0.0,Emerging (Low),13014.0,586986.0,1.8,9760,1952,1302,2.169,Historical
Delhi,2017,103,0.0049,0.0081999999999999,0.056969026548672565,0.03159451327433626,-0.7863070539419087,Emerging (Low),2864.0,615136.0,1.8,2148,429,287,0.4634304207119741,Historical
Delhi,2018,1110,0.0040999999999999,0.0066,0.6139380530973452,0.3095190265486725,9.776699029126213,Developing (Mid),31795.0,604745.0,1.8,23846,4769,3180,4.994972821817954,Historical
Delhi,2019,321,0.004,0.0073,0.17754424778761063,0.09143212389380533,-0.7108108108108109,Emerging (Low),9470.0,646166.0,1.8,7102,1420,948,1.4443990262889774,Historical
Delhi,2020,655,0.0048,0.0065,0.3622787610619469,0.18387938053097344,1.0404984423676011,Emerging (Low),79618.0,595687.0,1.8,59713,11942,7963,11.789931956671431,Historical
Delhi,2021,344,0.0046999999999999,0.0055,0.1902654867256637,0.09764274336283182,-0.4748091603053435,Emerging (Low),43069.0,652495.0,1.8,32301,6460,4308,6.19195358011628,Historical
Delhi,2022,503,0.0051,0.0085,0.2782079646017699,0.14233398230088495,0.46220930232558133,Emerging (Low),64865.0,651566.0,1.8,48648,9729,6488,9.053907494231824,Historical
Delhi,2023,762,0.005,0.0064,0.42146017699115046,0.21351008849557523,0.5149105367793241,Emerging (Low),101213.0,636711.0,1.8,75909,15181,10123,13.71591112363875,Historical
Delhi,2024,646,0.0048,0.0056999999999999,0.3573008849557522,0.18123044247787606,-0.15223097112860895,Emerging (Low),88380.0,671682.0,1.8,66285,13257,8838,11.627998768521515,Historical
Delhi,2025,666,0.0049,0.0061,0.36836283185840707,0.18687141592920353,0.030959752321981338,Emerging (Low),93849.0,689014.0,1.8,70386,14077,9386,11.98792125825336,Historical
Delhi,2025,727,0.0049,0.0061,0.4021017699115044,0.2037408849557522,0.09159159159159169,Emerging (Low),110978.0,687383.0,1.8,83233,16646,11099,13.900729118782104,Forecast
Delhi,2026,687,0.005,0.0059,0.3799778761061947,0.19266893805309734,-0.05502063273727653,Emerging (Low),99713.0,706636.0,1.8,74784,14956,9973,12.365985447988402,Historical
Delhi,2026,747,0.005,0.0059,0.4131637168141593,0.20926185840707964,0.0873362445414847,Emerging (Low),110978.0,698500.0,1.8,83233,16646,11099,13.709822873506136,Forecast
Delhi,2027,707,0.005,0.0058,0.39103982300884954,0.19817991150442477,-0.0535475234270415,Emerging (Low),105694.0,724846.0,1.8,79270,15854,10570,12.725937341970283,Historical
Delhi,2027,768,0.005,0.0058,0.4247787610619469,0.21504938053097344,0.08628005657708626,Emerging (Low),115102.0,709618.0,1.8,86326,17265,11511,13.956494325346785,Forecast
Gujarat,2016,498,0.0044,0.0081999999999999,0.2754424778761062,0.14068123893805307,0.0,Emerging (Low),9711.0,590289.0,1.3,7283,1456,972,1.6185,Historical
Gujarat,2017,317,0.0056999999999999,0.008,0.17533185840707965,0.09097592920353981,-0.36345381526104414,Emerging (Low),6366.0,611634.0,1.3,4774,954,638,1.0300970873786408,Historical
Gujarat,2018,459,0.0045,0.0085,0.2538716814159292,0.1299858407079646,0.4479495268138802,Emerging (Low),9495.0,627045.0,1.3,7121,1424,950,1.4916580262041663,Historical
Gujarat,2019,552,0.0026,0.0067,0.3053097345132743,0.15477486725663717,0.20261437908496727,Emerging (Low),11762.0,643874.0,1.3,8821,1764,1177,1.7939832468015788,Historical
Gujarat,2020,804,0.0034999999999999,0.0077,0.4446902654867257,0.22493513274336283,0.4565217391304348,Emerging (Low),70582.0,604723.0,1.3,52936,10587,7059,10.45186989582485,Historical
Gujarat,2021,630,0.0028,0.0073,0.34845132743362833,0.17652566371681416,-0.21641791044776115,Emerging (Low),56966.0,638598.0,1.3,42724,8544,5698,8.189900569897235,Historical
Gujarat,2022,1206,0.004,0.0063,0.6670353982300885,0.3359776991150442,0.9142857142857144,Developing (Mid),112322.0,604109.0,1.3,84241,16848,11233,15.677992716674737,Historical
Gujarat,2023,105,0.0036,0.0062,0.05807522123893805,0.031357610619469026,-0.9129353233830846,Emerging (Low),10072.0,727852.0,1.3,7554,1510,1008,1.3649102075552497,Historical
Gujarat,2024,988,0.0062,0.0066,0.5464601769911505,0.2764100884955752,8.40952380952381,Emerging (Low),97622.0,662440.0,1.3,73216,14643,9763,12.843952203899157,Historical
Gujarat,2025,1049,0.0042,0.0062,0.5801991150442478,0.2925995575221239,0.061740890688259054,Emerging (Low),106759.0,676104.0,1.3,80069,16013,10677,13.636996511522451,Historical
Gujarat,2025,1232,0.0042,0.0063,0.6814159292035398,0.34322796460176985,0.17445185891325066,Developing (Mid),132754.0,681786.0,1.3,99565,19913,13276,16.298033245758344,Forecast
Gujarat,2026,1110,0.0042,0.0062,0.6139380530973452,0.3094690265486726,-0.09902597402597402,Developing (Mid),116356.0,689993.0,1.3,87267,17453,11636,14.429980070664191,Historical
Gujarat,2026,1293,0.0042,0.0062,0.7151548672566371,0.36007743362831857,0.16486486486486496,Developing (Mid),132754.0,691326.0,1.3,99565,19913,13276,16.109358314726727,Forecast
Gujarat,2027,1171,0.0042,0.0062,0.6476769911504425,0.32633849557522127,-0.09435421500386698,Developing (Mid),126433.0,704107.0,1.3,94824,18964,12645,15.222987453945624,Historical
Gujarat,2027,1354,0.0042,0.0062,0.7488938053097345,0.37694690265486724,0.15627668659265592,Developing (Mid),132754.0,700865.0,1.3,99565,19913,13276,15.925020902834508,Forecast
Haryana,2016,206,0.0031,0.0084,0.11393805309734513,0.059579026548672566,0.0,Emerging (Low),3090.0,596910.0,1.0,2317,463,310,0.515,Historical
Haryana,2017,1147,0.0051,0.0066,0.6344026548672567,0.3200513274336283,4.567961165048544,Developing (Mid),17721.0,600279.0,1.0,13290,2658,1773,2.86747572815534,Historical
Haryana,2018,420,0.0059,0.0059,0.2323008849557522,0.1191004424778761,-0.6338273757628596,Emerging (Low),6683.0,629857.0,1.0,5012,1002,669,1.0498947434568136,Historical
Haryana,2019,717,0.0031,0.0045,0.396570796460177,0.2001153982300885,0.7071428571428571,Emerging (Low),11752.0,643884.0,1.0,8814,1762,1176,1.792458010237388,Historical
Haryana,2020,1148,0.0040999999999999,0.0056,0.6349557522123894,0.3198278761061947,0.601115760111576,Developing (Mid),77525.0,597780.0,1.0,58143,11628,7754,11.479997926862676,Historical
Haryana,2021,696,0.0026,0.0055,0.38495575221238937,0.19435787610619468,-0.39372822299651566,Emerging (Low),48411.0,647153.0,1.0,36308,7261,4842,6.9599634253641645,Historical
Haryana,2022,374,0.0034999999999999,0.0077,0.206858407079646,0.10601920353982297,-0.46264367816091956,Emerging (Low),26794.0,689637.0,1.0,20095,4019,2680,3.7399275017412705,Historical
Haryana,2023,934,0.0039,0.0074,0.5165929203539823,0.26094646017699114,1.4973262032085564,Emerging (Low),68922.0,669002.0,1.0,51691,10338,6893,9.33998623164445,Historical
Haryana,2024,72,0.0043,0.0045,0.03982300884955752,0.022101504424778762,-0.9229122055674518,Emerging (Low),5472.0,754590.0,1.0,4104,820,548,0.7199412679491937,Historical
Haryana,2025,55,0.0036,0.0055,0.030420353982300884,0.017390176991150443,-0.23611111111111116,Emerging (Low),4305.0,778558.0,1.0,3228,645,432,0.5499046448740074,Historical
Haryana,2025,4,0.0036,0.0055,0.0022123893805309734,0.0032861946902654872,-0.9272727272727272,Emerging (Low),81401.0,762865.0,1.0,61050,12210,8141,9.64162953381991,Forecast
Haryana,2026,38,0.0035,0.0054,0.02101769911504425,0.012638849557522125,8.5,Emerging (Low),3064.0,803285.0,1.0,2298,459,307,0.3799843492085933,Historical
Haryana,2026,0,0.0035,0.0054,0.0,0.00213,-1.0,Emerging (Low),81401.0,784643.0,1.0,61050,12210,8141,9.399176023389112,Forecast
Haryana,2027,21,0.0035,0.0052,0.011615044247787611,0.007897522123893806,inf,Emerging (Low),1744.0,828796.0,1.0,1308,261,175,0.209983865918559,Historical
Haryana,2027,0,0.0035,0.0052,0.0,0.00209,-1.0,Emerging (Low),81401.0,806420.0,1.0,61050,12210,8141,9.168627459814536,Forecast
Jharkhand,2016,565,0.0055,0.0083,0.3125,0.15956,0.0,Emerging (Low),8475.0,591525.0,1.0,6356,1271,848,1.4125,Historical
Jharkhand,2017,686,0.0056999999999999,0.0067,0.37942477876106195,0.19276238938053095,0.2141592920353983,Emerging (Low),10598.0,607402.0,1.0,7948,1589,1061,1.7148867313915857,Historical
Jharkhand,2018,1151,0.0043,0.0068,0.6366150442477876,0.32095752212389383,0.6778425655976676,Developing (Mid),18316.0,618224.0,1.0,13737,2747,1832,2.877431111948974,Historical
Jharkhand,2019,1088,0.0053,0.0060999999999999,0.6017699115044248,0.3036949557522124,-0.05473501303214601,Developing (Mid),17833.0,637803.0,1.0,13374,2674,1785,2.7199543649219993,Historical
Jharkhand,2020,95,0.0054,0.0054,0.05254424778761062,0.02897212389380531,-0.9126838235294118,Emerging (Low),6415.0,668890.0,1.0,4811,962,642,0.9499411377081468,Historical
Jharkhand,2021,109,0.0026,0.0046,0.06028761061946902,0.03184380530973451,0.1473684210526316,Emerging (Low),7581.0,687983.0,1.0,5685,1137,759,1.0899068956990299,Historical
Jharkhand,2022,796,0.0056999999999999,0.0055,0.44026548672566373,0.22294274336283182,6.302752293577981,Emerging (Low),57027.0,659404.0,1.0,42770,8554,5703,7.95987331648128,Historical
Jharkhand,2023,855,0.0044,0.006,0.4728982300884956,0.23896911504424778,0.07412060301507539,Emerging (Low),63092.0,674832.0,1.0,47319,9463,6310,8.54993197131412,Historical
Jharkhand,2024,270,0.004,0.0083,0.14933628318584072,0.07752814159292036,-0.6842105263157895,Emerging (Low),20521.0,739541.0,1.0,15390,3078,2053,2.699911323023648,Historical
Jharkhand,2025,233,0.004,0.0059,0.1288716814159292,0.0668158407079646,-0.13703703703703707,Emerging (Low),18240.0,764623.0,1.0,13680,2736,1824,2.3299095754940518,Historical
Jharkhand,2025,122,0.004,0.0059,0.06747787610619468,0.03611893805309734,-0.4763948497854077,Emerging (Low),66246.0,757379.0,1.0,49684,9936,6626,8.043223554408863,Forecast
Jharkhand,2026,196,0.0038,0.0058,0.1084070796460177,0.056503539823008854,0.6065573770491803,Emerging (Low),15804.0,790545.0,1.0,11853,2370,1581,1.9599453834505902,Historical
Jharkhand,2026,85,0.0038,0.0058,0.04701327433628318,0.02580663716814159,-0.5663265306122449,Emerging (Low),66246.0,777151.0,1.0,49684,9936,6626,7.8546639364379995,Forecast
Jharkhand,2027,159,0.0036,0.0057,0.08794247787610619,0.046191238938053096,0.8705882352941177,Emerging (Low),13205.0,817335.0,1.0,9903,1980,1322,1.5899294434945939,Historical
Jharkhand,2027,48,0.0036,0.0057,0.02654867256637168,0.01549433628318584,-0.6981132075471699,Emerging (Low),66246.0,796924.0,1.0,49684,9936,6626,7.674733829952385,Forecast
Karnataka,2016,321,0.0046999999999999,0.0081,0.17754424778761063,0.09180212389380528,0.0,Emerging (Low),7704.0,592296.0,1.6,5778,1155,771,1.284,Historical
Karnataka,2017,185,0.0055,0.0084,0.10232300884955753,0.054491504424778764,-0.42367601246105924,Emerging (Low),4573.0,613427.0,1.6,3429,685,459,0.739967637540453,Historical
Karnataka,2018,574,0.0053,0.006,0.3174778761061947,0.16152893805309737,2.1027027027027025,Emerging (Low),14614.0,621926.0,1.6,10960,2192,1462,2.2958494360134476,Historical
Karnataka,2019,498,0.0040999999999999,0.0081,0.2754424778761062,0.1405712389380531,-0.132404181184669,Emerging (Low),13060.0,642576.0,1.6,9795,1959,1306,1.9919589528335846,Historical
Karnataka,2020,318,0.0032,0.0048,0.17588495575221239,0.0898624778761062,-0.3614457831325302,Emerging (Low),34359.0,640946.0,1.6,25769,5153,3437,5.087923234686549,Historical
Karnataka,2021,678,0.0042,0.005,0.375,0.18976,1.1320754716981134,Emerging (Low),75454.0,620110.0,1.6,56590,11318,7546,10.847887469736788,Historical
Karnataka,2022,1100,0.0065,0.0056,0.6084070796460177,0.30727353982300887,0.6224188790560472,Developing (Mid),126091.0,590340.0,1.6,94568,18913,12610,17.599880518849687,Historical
Karnataka,2023,719,0.0046999999999999,0.0054,0.39767699115044247,0.2013284955752212,-0.3463636363636363,Emerging (Low),84890.0,653034.0,1.6,63667,12733,8490,11.503894710024339,Historical
Karnataka,2024,1149,0.0051,0.006,0.6355088495575221,0.320484424778761,0.5980528511821974,Developing (Mid),136811.0,623251.0,1.6,102608,20521,13682,17.999978949085733,Historical
Karnataka,2025,1252,0.005,0.0048,0.6924778761061947,0.3486989380530974,0.08964316797214966,Developing (Mid),140915.0,641948.0,1.6,105686,21137,14092,17.999956569668,Historical
Karnataka,2025,1562,0.005,0.0049,0.8639380530973452,0.43444902654867257,0.24760383386581464,Developing (Mid),156971.0,649663.0,1.6,117728,23545,15698,19.460002925738316,Forecast
Karnataka,2026,1356,0.005,0.0048,0.75,0.37746,-0.13188220230473746,Developing (Mid),145142.0,661207.0,1.6,108856,21771,14515,17.99989830706059,Historical
Karnataka,2026,1665,0.005,0.0048,0.9209070796460177,0.46291353982300887,0.22787610619469034,Developing (Mid),156971.0,654755.0,1.6,117728,23545,15698,19.337929301266684,Forecast
Karnataka,2027,1459,0.005,0.0048,0.8069690265486725,0.4059445132743363,-0.12372372372372376,Developing (Mid),149497.0,681043.0,1.6,112122,22424,14951,17.99997591928143,Historical
Karnataka,2027,1769,0.005,0.0048,0.978429203539823,0.4916746017699115,0.21247429746401636,Developing (Mid),164873.0,659847.0,1.6,123654,24730,16489,19.991391017557476,Forecast
Kerala,2016,629,0.0063,0.0060999999999999,0.3478982300884956,0.17705911504424776,0.0,Emerging (Low),14152.0,585848.0,1.5,10614,2122,1416,2.3586666666666667,Historical
Kerala,2017,546,0.003,0.0073,0.3019911504424779,0.15335557522123894,-0.1319554848966613,Emerging (Low),12653.0,605347.0,1.5,9489,1897,1267,2.047411003236246,Historical
Kerala,2018,609,0.0053,0.005,0.3368362831858407,0.17100814159292035,0.11538461538461542,Emerging (Low),14536.0,622004.0,1.5,10902,2180,1454,2.283595689194709,Historical
Kerala,2019,409,0.005,0.0059,0.22621681415929204,0.11578840707964602,-0.32840722495894914,Emerging (Low),10055.0,645581.0,1.5,7541,1508,1006,1.5336253652941572,Historical
Kerala,2020,60,0.0044,0.0079,0.033185840707964605,0.019492920353982302,-0.8533007334963325,Emerging (Low),6077.0,669228.0,1.5,4557,911,609,0.8998896794781617,Historical
Kerala,2021,594,0.0044,0.0046,0.32853982300884954,0.16650991150442476,8.9,Emerging (Low),61974.0,633590.0,1.5,46480,9296,6198,8.909891828789299,Historical
Kerala,2022,803,0.005,0.0076,0.44413716814159293,0.22508858407079646,0.35185185185185186,Emerging (Low),86294.0,630137.0,1.5,64720,12944,8630,12.044984094769768,Historical
Kerala,2023,252,0.0046,0.0069,0.13938053097345132,0.07245026548672567,-0.6861768368617684,Emerging (Low),27893.0,710031.0,1.5,20919,4183,2791,3.7799285563282945,Historical
Kerala,2024,136,0.0065,0.0076,0.0752212389380531,0.04108061946902655,-0.46031746031746035,Emerging (Low),15505.0,744557.0,1.5,11628,2325,1552,2.0399651607368874,Historical
Kerala,2025,74,0.0053,0.0073,0.04092920353982301,0.023514601769911506,-0.4558823529411765,Emerging (Low),8689.0,774174.0,1.5,6516,1303,870,1.109900455124332,Historical
Kerala,2025,0,0.0053,0.0073,0.0,0.00305,-1.0,Emerging (Low),90608.0,763459.0,1.5,67956,13591,9061,10.609003743266044,Forecast
Kerala,2026,12,0.0054,0.0074,0.00663716814159292,0.0064185840707964605,inf,Emerging (Low),1451.0,804898.0,1.5,1088,217,146,0.1799468964431034,Historical
Kerala,2026,0,0.0054,0.0074,0.0,0.0031000000000000003,-1.0,Emerging (Low),90608.0,785021.0,1.5,67956,13591,9061,10.347761437777873,Forecast
Kerala,2027,0,0.0055,0.0076,0.0,0.00317,0.0,Emerging (Low),0.0,830540.0,1.5,0,0,0,0.0,Historical
Kerala,2027,0,0.0055,0.0076,0.0,0.00317,0.0,Emerging (Low),90608.0,806582.0,1.5,67956,13591,9061,10.099087149879066,Forecast
Madhya Pradesh,2016,573,0.0060999999999999,0.0074,0.31692477876106195,0.16177238938053096,0.0,Emerging (Low),8595.0,591405.0,1.0,6446,1289,860,1.4324999999999999,Historical
Madhya Pradesh,2017,278,0.0051,0.0084,0.15376106194690264,0.08009053097345133,-0.5148342059336823,Emerging (Low),4295.0,613705.0,1.0,3221,644,430,0.6949838187702265,Historical
Madhya Pradesh,2018,585,0.006,0.004,0.3235619469026549,0.16438097345132743,1.1043165467625897,Emerging (Low),9309.0,627231.0,1.0,6981,1396,932,1.4624375530210199,Historical
Madhya Pradesh,2019,389,0.0059,0.0053,0.21515486725663716,0.11040743362831858,-0.3350427350427351,Emerging (Low),6376.0,649260.0,1.0,4782,956,638,0.9724908333282493,Historical
Madhya Pradesh,2020,784,0.0062,0.0060999999999999,0.4336283185840708,0.21989415929203537,1.0154241645244215,Emerging (Low),52943.0,622362.0,1.0,39707,7941,5295,7.8398649499115205,Historical
Madhya Pradesh,2021,721,0.0026,0.0042,0.398783185840708,0.201011592920354,-0.0803571428571429,Emerging (Low),50150.0,645414.0,1.0,37612,7522,5016,7.2099763645042,Historical
Madhya Pradesh,2022,844,0.0037,0.0064,0.4668141592920354,0.2357970796460177,0.1705963938973647,Emerging (Low),60466.0,655965.0,1.0,45349,9069,6048,8.43989162948002,Historical
Madhya Pradesh,2023,987,0.0065,0.0049,0.5459070796460177,0.27588353982300884,0.16943127962085303,Emerging (Low),72833.0,665091.0,1.0,54624,10924,7285,9.86998661108732,Historical
Madhya Pradesh,2024,467,0.003,0.0051,0.25829646017699115,0.13106823008849558,-0.5268490374873354,Emerging (Low),35494.0,724568.0,1.0,26620,5324,3550,4.669882193821031,Historical
Madhya Pradesh,2025,453,0.0037,0.0044,0.25055309734513276,0.12726654867256637,-0.02997858672376874,Emerging (Low),35463.0,747400.0,1.0,26597,5319,3547,4.5299113638018405,Historical
Madhya Pradesh,2025,413,0.0037,0.0045,0.22842920353982302,0.1162246017699115,-0.08830022075055188,Emerging (Low),76474.0,737023.0,1.0,57355,11471,7648,9.400649295572078,Forecast
Madhya Pradesh,2026,440,0.0034,0.0042,0.24336283185840707,0.12354141592920352,0.06537530266343827,Emerging (Low),35479.0,770870.0,1.0,26609,5321,3549,4.399955850382402,Historical
Madhya Pradesh,2026,400,0.0034,0.0042,0.22123893805309736,0.11247946902654866,-0.09090909090909094,Emerging (Low),76474.0,754545.0,1.0,57355,11471,7648,9.20243700805878,Forecast
Madhya Pradesh,2027,427,0.0031,0.004,0.2361725663716814,0.1198162831858407,0.0674999999999999,Emerging (Low),35464.0,795076.0,1.0,26598,5319,3547,4.269993016591616,Historical
Madhya Pradesh,2027,387,0.0031,0.004,0.2140486725663717,0.10875433628318584,-0.09367681498829039,Emerging (Low),76474.0,772067.0,1.0,57355,11471,7648,9.012410714390937,Forecast
Maharashtra,2016,470,0.0029,0.0063,0.25995575221238937,0.1321078761061947,0.0,Emerging (Low),10575.0,589425.0,1.5,7931,1586,1058,1.7624999999999997,Historical
